Song of Solomon,2,16,She My beloved is mine and I am his; he browses among the lilies.
Song of Solomon,2,17,"Until the day breaks and the shadows flee, turn, my beloved, and be like a gazelle or like a young stag on the rugged hills."
Song of Solomon,3,1,All night long on my bed I looked for the one my heart loves; I looked for him but did not find him.
Song of Solomon,3,2,"I will get up now and go about the city, through its streets and squares; I will search for the one my heart loves. So I looked for him but did not find him."
Song of Solomon,3,3,The watchmen found me as they made their rounds in the city. “Have you seen the one my heart loves?”
Song of Solomon,3,4,"Scarcely had I passed them when I found the one my heart loves. I held him and would not let him go till I had brought him to my mother’s house, to the room of the one who conceived me."
Song of Solomon,3,5,"Daughters of Jerusalem, I charge you by the gazelles and by the does of the field: Do not arouse or awaken love until it so desires."
Song of Solomon,3,6,"Who is this coming up from the wilderness like a column of smoke, perfumed with myrrh and incense made from all the spices of the merchant?"
Song of Solomon,3,7,"Look! It is Solomon’s carriage, escorted by sixty warriors, the noblest of Israel,"
Song of Solomon,3,8,"all of them wearing the sword, all experienced in battle, each with his sword at his side, prepared for the terrors of the night."
Song of Solomon,3,9,King Solomon made for himself the carriage; he made it of wood from Lebanon.
Song of Solomon,3,10,"Its posts he made of silver, its base of gold. Its seat was upholstered with purple, its interior inlaid with love. Daughters of Jerusalem,"
Song of Solomon,3,11,"come out, and look, you daughters of Zion. Look on King Solomon wearing a crown, the crown with which his mother crowned him on the day of his wedding, the day his heart rejoiced."
Song of Solomon,4,1,"He How beautiful you are, my darling! Oh, how beautiful! Your eyes behind your veil are doves. Your hair is like a flock of goats descending from the hills of Gilead."
Song of Solomon,4,2,"Your teeth are like a flock of sheep just shorn, coming up from the washing. Each has its twin; not one of them is alone."
Song of Solomon,4,3,Your lips are like a scarlet ribbon; your mouth is lovely. Your temples behind your veil are like the halves of a pomegranate.
Song of Solomon,4,4,"Your neck is like the tower of David, built with courses of stone; on it hang a thousand shields, all of them shields of warriors."
Song of Solomon,4,5,"Your breasts are like two fawns, like twin fawns of a gazelle that browse among the lilies."
Song of Solomon,4,6,"Until the day breaks and the shadows flee, I will go to the mountain of myrrh and to the hill of incense."
Song of Solomon,4,7,"You are altogether beautiful, my darling; there is no flaw in you."
Song of Solomon,4,8,"Come with me from Lebanon, my bride, come with me from Lebanon. Descend from the crest of Amana, from the top of Senir, the summit of Hermon, from the lions’ dens and the mountain haunts of leopards."
Song of Solomon,4,9,"You have stolen my heart, my sister, my bride; you have stolen my heart with one glance of your eyes, with one jewel of your necklace."
Song of Solomon,4,10,"How delightful is your love, my sister, my bride! How much more pleasing is your love than wine, and the fragrance of your perfume more than any spice!"
Song of Solomon,4,11,"Your lips drop sweetness as the honeycomb, my bride; milk and honey are under your tongue. The fragrance of your garments is like the fragrance of Lebanon."
Song of Solomon,4,12,"You are a garden locked up, my sister, my bride; you are a spring enclosed, a sealed fountain."
Song of Solomon,4,13,"Your plants are an orchard of pomegranates with choice fruits, with henna and nard,"
Song of Solomon,4,14,"nard and saffron, calamus and cinnamon, with every kind of incense tree, with myrrh and aloes and all the finest spices."
Song of Solomon,4,15,"You are a garden fountain, a well of flowing water streaming down from Lebanon."
Song of Solomon,4,16,"She Awake, north wind, and come, south wind! Blow on my garden, that its fragrance may spread everywhere. Let my beloved come into his garden and taste its choice fruits."
Song of Solomon,5,1,"He I have come into my garden, my sister, my bride; I have gathered my myrrh with my spice. I have eaten my honeycomb and my honey; I have drunk my wine and my milk. FriendsEat, friends, and drink; drink your fill of love."
Song of Solomon,5,2,"She I slept but my heart was awake. Listen! My beloved is knocking: “Open to me, my sister, my darling, my dove, my flawless one. My head is drenched with dew, my hair with the dampness of the night.”"
Song of Solomon,5,3,I have taken off my robe— must I put it on again? I have washed my feet— must I soil them again?
Song of Solomon,5,4,My beloved thrust his hand through the latch-opening; my heart began to pound for him.
Song of Solomon,5,5,"I arose to open for my beloved, and my hands dripped with myrrh, my fingers with flowing myrrh, on the handles of the bolt."
Song of Solomon,5,6,"I opened for my beloved, but my beloved had left; he was gone. My heart sank at his departure. I looked for him but did not find him. I called him but he did not answer."
Song of Solomon,5,7,"The watchmen found me as they made their rounds in the city. They beat me, they bruised me; they took away my cloak, those watchmen of the walls!"
Song of Solomon,5,8,"Daughters of Jerusalem, I charge you— if you find my beloved, what will you tell him? Tell him I am faint with love."
Song of Solomon,5,9,"Friends How is your beloved better than others, most beautiful of women? How is your beloved better than others, that you so charge us?"
Song of Solomon,5,10,"She My beloved is radiant and ruddy, outstanding among ten thousand."
Song of Solomon,5,11,His head is purest gold; his hair is wavy and black as a raven.
Song of Solomon,5,12,"His eyes are like doves by the water streams, washed in milk, mounted like jewels."
Song of Solomon,5,13,His cheeks are like beds of spice yielding perfume. His lips are like lilies dripping with myrrh.
Song of Solomon,5,14,His arms are rods of gold set with topaz. His body is like polished ivory decorated with lapis lazuli.
Song of Solomon,5,15,"His legs are pillars of marble set on bases of pure gold. His appearance is like Lebanon, choice as its cedars."
Song of Solomon,5,16,"His mouth is sweetness itself; he is altogether lovely. This is my beloved, this is my friend, daughters of Jerusalem."
Song of Solomon,6,1,"Friends Where has your beloved gone, most beautiful of women? Which way did your beloved turn, that we may look for him with you?"
Song of Solomon,6,2,"She My beloved has gone down to his garden, to the beds of spices, to browse in the gardens and to gather lilies."
Song of Solomon,6,3,I am my beloved’s and my beloved is mine; he browses among the lilies.
Song of Solomon,6,4,"He You are as beautiful as Tirzah, my darling, as lovely as Jerusalem, as majestic as troops with banners."
Song of Solomon,6,5,Turn your eyes from me; they overwhelm me. Your hair is like a flock of goats descending from Gilead.
Song of Solomon,6,6,"Your teeth are like a flock of sheep coming up from the washing. Each has its twin, not one of them is missing."
Song of Solomon,6,7,Your temples behind your veil are like the halves of a pomegranate.
Song of Solomon,6,8,"Sixty queens there may be, and eighty concubines, and virgins beyond number;"
Song of Solomon,6,9,"but my dove, my perfect one, is unique, the only daughter of her mother, the favorite of the one who bore her. The young women saw her and called her blessed; the queens and concubines praised her."
Song of Solomon,6,10,"Friends Who is this that appears like the dawn, fair as the moon, bright as the sun, majestic as the stars in procession?"
Song of Solomon,6,11,"He I went down to the grove of nut trees to look at the new growth in the valley, to see if the vines had budded or the pomegranates were in bloom."
Song of Solomon,6,12,"Before I realized it, my desire set me among the royal chariots of my people."
Song of Solomon,6,13,"Friends Come back, come back, O Shulammite; come back, come back, that we may gaze on you! HeWhy would you gaze on the Shulammite as on the dance of Mahanaim?"
Song of Solomon,7,1,"How beautiful your sandaled feet, O prince’s daughter! Your graceful legs are like jewels, the work of an artist’s hands."
Song of Solomon,7,2,Your navel is a rounded goblet that never lacks blended wine. Your waist is a mound of wheat encircled by lilies.
Song of Solomon,7,3,"Your breasts are like two fawns, like twin fawns of a gazelle."
Song of Solomon,7,4,Your neck is like an ivory tower. Your eyes are the pools of Heshbon by the gate of Bath Rabbim. Your nose is like the tower of Lebanon looking toward Damascus.
Song of Solomon,7,5,Your head crowns you like Mount Carmel. Your hair is like royal tapestry; the king is held captive by its tresses.
Song of Solomon,7,6,"How beautiful you are and how pleasing, my love, with your delights!"
Song of Solomon,7,7,"Your stature is like that of the palm, and your breasts like clusters of fruit."
Song of Solomon,7,8,"I said, “I will climb the palm tree; I will take hold of its fruit.” May your breasts be like clusters of grapes on the vine, the fragrance of your breath like apples,"
Song of Solomon,7,9,"and your mouth like the best wine. SheMay the wine go straight to my beloved, flowing gently over lips and teeth."
Song of Solomon,7,10,"I belong to my beloved, and his desire is for me."
Song of Solomon,7,11,"Come, my beloved, let us go to the countryside, let us spend the night in the villages."
Song of Solomon,7,12,"Let us go early to the vineyards to see if the vines have budded, if their blossoms have opened, and if the pomegranates are in bloom— there I will give you my love."
Song of Solomon,7,13,"The mandrakes send out their fragrance, and at our door is every delicacy, both new and old, that I have stored up for you, my beloved."
Song of Solomon,8,1,"If only you were to me like a brother, who was nursed at my mother’s breasts! Then, if I found you outside, I would kiss you, and no one would despise me."
Song of Solomon,8,2,"I would lead you and bring you to my mother’s house— she who has taught me. I would give you spiced wine to drink, the nectar of my pomegranates."
Song of Solomon,8,3,His left arm is under my head and his right arm embraces me.
Song of Solomon,8,4,"Daughters of Jerusalem, I charge you: Do not arouse or awaken love until it so desires."
Song of Solomon,8,5,"Friends Who is this coming up from the wilderness leaning on her beloved? SheUnder the apple tree I roused you; there your mother conceived you, there she who was in labor gave you birth."
Song of Solomon,8,6,"Place me like a seal over your heart, like a seal on your arm; for love is as strong as death, its jealousy unyielding as the grave. It burns like blazing fire, like a mighty flame."
Song of Solomon,8,7,"Many waters cannot quench love; rivers cannot sweep it away. If one were to give all the wealth of one’s house for love, it would be utterly scorned."
Song of Solomon,8,8,"Friends We have a little sister, and her breasts are not yet grown. What shall we do for our sister on the day she is spoken for?"
Song of Solomon,8,9,"If she is a wall, we will build towers of silver on her. If she is a door, we will enclose her with panels of cedar."
Song of Solomon,8,10,"She I am a wall, and my breasts are like towers. Thus I have become in his eyes like one bringing contentment."
Song of Solomon,8,11,Solomon had a vineyard in Baal Hamon; he let out his vineyard to tenants. Each was to bring for its fruit a thousand shekels of silver.
Song of Solomon,8,12,"But my own vineyard is mine to give; the thousand shekels are for you, Solomon, and two hundred are for those who tend its fruit."
Song of Solomon,8,13,"He You who dwell in the gardens with friends in attendance, let me hear your voice!"
Song of Solomon,8,14,"She Come away, my beloved, and be like a gazelle or like a young stag on the spice-laden mountains."
Isaiah,1,1,"The vision concerning Judah and Jerusalem that Isaiah son of Amoz saw during the reigns of Uzziah, Jotham, Ahaz and Hezekiah, kings of Judah."
Isaiah,1,2,"Hear me, you heavens! Listen, earth! For the LORD has spoken: “I reared children and brought them up, but they have rebelled against me."
Isaiah,1,3,"The ox knows its master, the donkey its owner’s manger, but Israel does not know, my people do not understand.”"
Isaiah,1,4,"Woe to the sinful nation, a people whose guilt is great, a brood of evildoers, children given to corruption! They have forsaken the LORD; they have spurned the Holy One of Israel and turned their backs on him."
Isaiah,1,5,"Why should you be beaten anymore? Why do you persist in rebellion? Your whole head is injured, your whole heart afflicted."
Isaiah,1,6,"From the sole of your foot to the top of your head there is no soundness— only wounds and welts and open sores, not cleansed or bandaged or soothed with olive oil."
Isaiah,1,7,"Your country is desolate, your cities burned with fire; your fields are being stripped by foreigners right before you, laid waste as when overthrown by strangers."
Isaiah,1,8,"Daughter Zion is left like a shelter in a vineyard, like a hut in a cucumber field, like a city under siege."
Isaiah,1,9,"Unless the LORD Almighty had left us some survivors, we would have become like Sodom, we would have been like Gomorrah."
Isaiah,1,10,"Hear the word of the LORD, you rulers of Sodom; listen to the instruction of our God, you people of Gomorrah!"
Isaiah,1,11,"“The multitude of your sacrifices— what are they to me?” says the LORD. “I have more than enough of burnt offerings, of rams and the fat of fattened animals; I have no pleasure in the blood of bulls and lambs and goats."
Isaiah,1,12,"When you come to appear before me, who has asked this of you, this trampling of my courts?"
Isaiah,1,13,"Stop bringing meaningless offerings! Your incense is detestable to me. New Moons, Sabbaths and convocations— I cannot bear your worthless assemblies."
Isaiah,1,14,Your New Moon feasts and your appointed festivals I hate with all my being. They have become a burden to me; I am weary of bearing them.
Isaiah,1,15,"When you spread out your hands in prayer, I hide my eyes from you; even when you offer many prayers, I am not listening. Your hands are full of blood!"
Isaiah,1,16,Wash and make yourselves clean. Take your evil deeds out of my sight; stop doing wrong.
Isaiah,1,17,Learn to do right; seek justice. Defend the oppressed. Take up the cause of the fatherless; plead the case of the widow.
Isaiah,1,18,"“Come now, let us settle the matter,” says the LORD. “Though your sins are like scarlet, they shall be as white as snow; though they are red as crimson, they shall be like wool."
Isaiah,1,19,"If you are willing and obedient, you will eat the good things of the land;"
Isaiah,1,20,"but if you resist and rebel, you will be devoured by the sword.” For the mouth of the LORD has spoken."
Isaiah,1,21,See how the faithful city has become a prostitute! She once was full of justice; righteousness used to dwell in her— but now murderers!
Isaiah,1,22,"Your silver has become dross, your choice wine is diluted with water."
Isaiah,1,23,"Your rulers are rebels, partners with thieves; they all love bribes and chase after gifts. They do not defend the cause of the fatherless; the widow’s case does not come before them."
Isaiah,1,24,"Therefore the Lord, the LORD Almighty, the Mighty One of Israel, declares: “Ah! I will vent my wrath on my foes and avenge myself on my enemies."
Isaiah,1,25,I will turn my hand against you; I will thoroughly purge away your dross and remove all your impurities.
Isaiah,1,26,"I will restore your leaders as in days of old, your rulers as at the beginning. Afterward you will be called the City of Righteousness, the Faithful City.”"
Isaiah,1,27,"Zion will be delivered with justice, her penitent ones with righteousness."
Isaiah,1,28,"But rebels and sinners will both be broken, and those who forsake the LORD will perish."
Isaiah,1,29,“You will be ashamed because of the sacred oaks in which you have delighted; you will be disgraced because of the gardens that you have chosen.
Isaiah,1,30,"You will be like an oak with fading leaves, like a garden without water."
Isaiah,1,31,"The mighty man will become tinder and his work a spark; both will burn together, with no one to quench the fire.”"
Isaiah,2,1,This is what Isaiah son of Amoz saw concerning Judah and Jerusalem:
Isaiah,2,2,"In the last days the mountain of the LORD’s temple will be established as the highest of the mountains; it will be exalted above the hills, and all nations will stream to it."
Isaiah,2,3,"Many peoples will come and say, “Come, let us go up to the mountain of the LORD, to the temple of the God of Jacob. He will teach us his ways, so that we may walk in his paths.” The law will go out from Zion, the word of the LORD from Jerusalem."
Isaiah,2,4,"He will judge between the nations and will settle disputes for many peoples. They will beat their swords into plowshares and their spears into pruning hooks. Nation will not take up sword against nation, nor will they train for war anymore."
Isaiah,2,5,"Come, descendants of Jacob, let us walk in the light of the LORD."
Isaiah,2,6,"You, LORD, have abandoned your people, the descendants of Jacob. They are full of superstitions from the East; they practice divination like the Philistines and embrace pagan customs."
Isaiah,2,7,Their land is full of silver and gold; there is no end to their treasures. Their land is full of horses; there is no end to their chariots.
Isaiah,2,8,"Their land is full of idols; they bow down to the work of their hands, to what their fingers have made."
Isaiah,2,9,So people will be brought low and everyone humbled— do not forgive them.
Isaiah,2,10,"Go into the rocks, hide in the ground from the fearful presence of the LORD and the splendor of his majesty!"
Isaiah,2,11,The eyes of the arrogant will be humbled and human pride brought low; the LORD alone will be exalted in that day.
Isaiah,2,12,"The LORD Almighty has a day in store for all the proud and lofty, for all that is exalted (and they will be humbled),"
Isaiah,2,13,"for all the cedars of Lebanon, tall and lofty, and all the oaks of Bashan,"
Isaiah,2,14,"for all the towering mountains and all the high hills,"
Isaiah,2,15,"for every lofty tower and every fortified wall,"
Isaiah,2,16,for every trading ship and every stately vessel.
Isaiah,2,17,"The arrogance of man will be brought low and human pride humbled; the LORD alone will be exalted in that day,"
Isaiah,2,18,and the idols will totally disappear.
Isaiah,2,19,"People will flee to caves in the rocks and to holes in the ground from the fearful presence of the LORD and the splendor of his majesty, when he rises to shake the earth."
Isaiah,2,20,"In that day people will throw away to the moles and bats their idols of silver and idols of gold, which they made to worship."
Isaiah,2,21,"They will flee to caverns in the rocks and to the overhanging crags from the fearful presence of the LORD and the splendor of his majesty, when he rises to shake the earth."
Isaiah,2,22,"Stop trusting in mere humans, who have but a breath in their nostrils. Why hold them in esteem?"
Isaiah,3,1,"See now, the Lord, the LORD Almighty, is about to take from Jerusalem and Judah both supply and support: all supplies of food and all supplies of water,"
Isaiah,3,2,"the hero and the warrior, the judge and the prophet, the diviner and the elder,"
Isaiah,3,3,"the captain of fifty and the man of rank, the counselor, skilled craftsman and clever enchanter."
Isaiah,3,4,“I will make mere youths their officials; children will rule over them.”
Isaiah,3,5,"People will oppress each other— man against man, neighbor against neighbor. The young will rise up against the old, the nobody against the honored."
Isaiah,3,6,"A man will seize one of his brothers in his father’s house, and say, “You have a cloak, you be our leader; take charge of this heap of ruins!”"
Isaiah,3,7,"But in that day he will cry out, “I have no remedy. I have no food or clothing in my house; do not make me the leader of the people.”"
Isaiah,3,8,"Jerusalem staggers, Judah is falling; their words and deeds are against the LORD, defying his glorious presence."
Isaiah,3,9,The look on their faces testifies against them; they parade their sin like Sodom; they do not hide it. Woe to them! They have brought disaster upon themselves.
Isaiah,3,10,"Tell the righteous it will be well with them, for they will enjoy the fruit of their deeds."
Isaiah,3,11,Woe to the wicked! Disaster is upon them! They will be paid back for what their hands have done.
Isaiah,3,12,"Youths oppress my people, women rule over them. My people, your guides lead you astray; they turn you from the path."
Isaiah,3,13,The LORD takes his place in court; he rises to judge the people.
Isaiah,3,14,The LORD enters into judgment against the elders and leaders of his people: “It is you who have ruined my vineyard; the plunder from the poor is in your houses.
Isaiah,3,15,"What do you mean by crushing my people and grinding the faces of the poor?” declares the Lord, the LORD Almighty."
