H1,"ab (awb) n-m.
1. father
{in a literal and immediate, or figurative and remote application}
[a primitive word. Compare names beginning with ""Abi-""]
KJV: chief, (fore-)father(-less), X patrimony, principal. "
H2,"ab (ab) n-m.
1. father
[(Aramaic) corresponding to H1]
 Root(s): H1 "
H3," 'eb (abe) n-m.
1. a green plant
[from the same as H24]
KJV: greenness, fruit. 
Root(s): H24 "
H4,"eb (abe) n-m.
1. fruit
[(Aramaic) corresponding to H3]
 Root(s): H3 "
H5,"Abagtha' (ab-ag-thaw') n/p.
1. Abagtha, a eunuch of Xerxes
[of foreign origin]
KJV: Abagtha. "
H6,"abad (aw-bad') v.
1. (properly) to wander away, i.e. lose oneself
2. (by implication) to perish
3. (causative) to destroy
[a primitive root]
KJV: break, destroy(- uction), + not escape, fail, lose, (cause to, make) perish, spend, X and surely, take, be undone, X utterly, be void of, have no way to flee. "
H7,"abad (ab-ad') v.
1. destroy, perish
[(Aramaic) corresponding to H6]
 Root(s): H6 "
H8,"obed (o-bade') n-m.
1. (concretely) wretched
2. (abstractly) destruction
[active of participle of H6]
KJV: perish. 
Root(s): H6 "
H9,"abedah (ab-ay-daw') n-f.
1. (concretely) something lost
2. (abstractly) destruction, i.e. Hades
[from H6]
KJV: lost. 
Root(s): H6 
Compare: H10 "
H10,"abaddoh (ab-ad-do') n-f.
1. a perishing
[the same as H9, miswritten for H11]
KJV: destruction. 
Root(s): H9, H11 "
H11,"abaddown (ab-ad-done') n/l.
1. (abstractly) a perishing
2. (concretely) Hades
[intensive from H6]
KJV: destruction. 
Root(s): H6 "
H12,"abdan (ab-dawn') n-m.
1. a perishing
[from H6]
KJV: destruction. 
Root(s): H6 "
H13,"obdan (ob-dawn') n-m.
1. a perishing
[from H6]
KJV: destruction. 
Root(s): H6 "
H14,"abah (aw-baw') v.
1. to breathe after
2. (figuratively) to be acquiescent
[a primitive root]
KJV: consent, rest content will, be willing. "
H15,"abeh (aw-beh') n-f.
1. longing
[from H14]
KJV: desire. 
Root(s): H14 "
H16,"ebeh (ay-beh') n-m.
1. the papyrus
[from H14 (in the sense of bending toward)]
KJV: swift. 
Root(s): H14 "
H17,"abowy (ab-o'ee) inj.
1. want
[from H14 (in the sense of desiring)]
KJV: sorrow. 
Root(s): H14 "
H18,"ebuwc (ay-booce') n-m.
1. a manger or stall
[from H75]
KJV: crib. 
Root(s): H75 "
H19,"ibchah (ib-khaw') n-f.
1. brandishing of a sword
[from an unused root (apparently meaning to turn)]
KJV: point. "
H20,"abattiyach (ab-at-tee'-akh) n-m.
1. a melon (only plural)
[of uncertain derivation]
KJV: melon. "
H21,"Abiy (ab-ee') n/p.
1. fatherly
2. Abi, Hezekiah's mother
[from H1]
KJV: Abi. 
Root(s): H1 "
H22,"Abiy'el (ab-ee-ale') n/p.
1. father (i.e. possessor) of God
2. Abiel, the name of two Israelites
[from H1 and H410]
KJV: Abiel. 
Root(s): H1, H410 "
H23,"Abiy'acaph (ab-ee-aw-sawf') n/p.
1. father of gathering (i.e. gatherer)
2. Abiasaph, an Israelite
[from H1 and H622]
KJV: Abiasaph. 
Root(s): H1, H622 "
H24,"abiyb (aw-beeb') n-m.
1. green, i.e. a young ear of grain
2. (hence) the name of the month Abib or Nisan
[from an unused root (meaning to be tender)]
KJV: Abib, ear, green ears of corn (not maize). "
H25,"Abiy Gib`own (ab-ee' ghib-one') n/p.
1. father (i.e. founder) of Gibon
2. Abi-Gibon, perhaps an Israelite
[from H1 and H1391]
KJV: father of Gibeon. 
Root(s): H1, H1391 "
H26,"Abiygayil (ab-ee-gah'-yil) (or shorter Abiygal {ab-ee-gal'}) n/p.
1. father (i.e. source) of joy
2. Abigail or Abigal, the name of two Israelitesses
[from H1 and H1524]
KJV: Abigal. 
Root(s): H1, H1524 "
H27,"Abiydan (ab-ee-dawn') n/p.
1. father of judgment (i.e. judge)
2. Abidan, an Israelite
[from H1 and H1777]
KJV: Abidan. 
Root(s): H1, H1777 "
H28,"Abiyda` (ab-ee-daw') n/p.
1. father of knowledge (i.e. knowing)
2. Abida, a son of Abraham by Keturah
[from H1 and H3045]
KJV: Abida, Abidah. 
Root(s): H1, H3045 "
H29,"Abiyah (ab-ee-yaw') (or prolonged Abiyahuw {ab-ee-yaw'-hoo}) n/p.
1. father (i.e. worshipper) of Jah
2. Abijah, the name of several Israelite men and two Israelitesses
[from H1 and H3050]
KJV: Abiah, Abijah. 
Root(s): H1, H3050 "
H30,"Abiyhuw' (ab-ee-hoo') n/p.
1. father (i.e. worshipper) of Him (i.e. God)
2. Abihu, a son of Aaron
[from H1 and H1931]
KJV: Abihu. 
Root(s): H1, H1931 "
H31,"Abiyhuwd (ab-ee-hood') n/p.
1. father (i.e. possessor) of renown
2. Abihud, the name of two Israelites
[from H1 and H1935]
KJV: Abihud. 
Root(s): H1, H1935 "
H32,"Abiyhayil (ab-ee-hah'-yil) (or (more correctly) hAbiychayil {ab-ee- khah'-yil}) n/p.
1. father (i.e. possessor) of might
2. Abihail or Abichail, the name of three Israelites and two Israelitesses
[from H1 and H2428]
KJV: Abihail. 
Root(s): H2428 "
H33,"Abiy ha-`Ezriy (ab-ee'-haw-ez-ree') n/p.
1. father of the Ezrite
2. an Abiezrite or descendant of Abiezer
[from H44 with the article inserted]
KJV: Abiezrite. 
Root(s): H44 "
H34,"ebyown (eb-yone') adj.
1. destitute
[from H14, in the sense of want (especially in feeling)]
KJV: beggar, needy, poor (man). 
Root(s): H14"
H35,"abiyownah (ab-ee-yo-naw') n-f.
1. provocative of desire
2. the caper berry (from its stimulative taste)
[from H14]
KJV: desire. 
Root(s): H14 "
H36,"Abiytuwb (ab-ee-toob') n/p.
1. father of goodness (i.e. good)
2. Abitub, an Israelite
[from H1 and H2898]
KJV: Abitub. 
Root(s): H1, H2898 "
H37,"Abiytal (ab-ee-tal') n/p.
1. father of dew (i.e. fresh)
2. Abital, a wife of King David
[from H1 and H2919]
KJV: Abital. 
Root(s): H1, H2919 "
H38,"Abiyam (ab-ee-yawm') n/p.
1. father of (the) sea (i.e. seaman)
2. Abijam (or Abijah), a king of Judah
[from H1 and H3220]
KJV: Abijam. 
Root(s): H1, H3220 "
H39,"Abiyma'el (ab-ee-maw-ale') n/p.
1. father of Mael (apparently some Arab tribe)
2. Abimael, a son of Joktan
[from H1 and an elsewhere unused (probably foreign) word]
KJV: Abimael. 
Root(s): H1 "
H40,"Abiymelek (ab-ee-mel'-ek) n/p.
1. father of (the) king
2. Abimelek, the name of two Philistine kings and of two Israelites
[from H1 and H4428]
KJV: Abimelech. 
Root(s): H1, H4428 "
H41,"Abiynadab (ab-ee-naw-dawb') n/p.
1. father of generosity (i.e. liberal)
2. Abinadab, the name of four Israelites
[from H1 and H5068]
KJV: Abinadab. 
Root(s): H1, H5068 "
H42,"Abiyno`am (ab-ee-no'-am) n/p.
1. father of pleasantness (i.e. gracious)
2. Abinoam, an Israelite
[from H1 and H5278]
KJV: Abinoam. 
Root(s): H1, H5278 "
H43,"Ebyacaph (eb-yaw-sawf') n/p.
1. Ebjasaph, an Israelite
[contracted from H23]
KJV: Ebiasaph. 
Root(s): H23 "
H44,"Abiy`ezer (ab-ee-ay'-zer) n/p.
1. father of help (i.e. helpful)
2. Abiezer, the name of two Israelites
[from H1 and H5829]
KJV: Abiezer. 
Root(s): H1, H5829 "
H45,"Abiy-`albown (ab-ee-al-bone') n/p.
1. probably, father of strength (i.e. valiant)
2. Abialbon, an Israelite
[from H1 and and an unused root of uncertain. derivation]
KJV: Abialbon. 
Root(s): H1 "
H46,"abiyr (aw-beer') adj.
1. mighty (spoken of God)
[from H82]
KJV: mighty (one). 
Root(s): H82 "
H47,"abbiyr (ab-beer') adj.
1. mighty (spoken of created beings
[from H46]
KJV: angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant. 
Root(s): H46 "
H48,"Abiyram (ab-ee-rawm') n/p.
1. father of height (i.e. lofty)
2. Abiram, the name of two Israelites
[from H1 and H7311]
KJV: Abiram. 
Root(s): H1, H7311 "
H49,"Abiyshag (ab-ee-shag') n/p.
1. father of error (i.e. blundering)
2. Abishag, a concubine of David
[from H1 and H7686]
KJV: Abishag. 
Root(s): H1, H7686 "
H50,"Abiyshuwae (ab-ee-shoo'-ah) n/p.
1. father of plenty (i.e. prosperous)
2. Abishua, the name of two Israelites
[from H1 and H7771]
KJV: Abishua. 
Root(s): H1, H7771 "
H51,"Abiyshuwr (ab-ee-shoor') n/p.
1. father of (the) wall (i.e. perhaps mason)
2. Abishur, an Israelite
[from H1 and H7791]
KJV: Abishur. 
Root(s): H1, H7791 "
