"book","chapter","verse","difficulty","testament","text",
"Genesis",1,1,,"OT","In the beginning, God created the heavens and the earth.",
"Genesis",1,3,,"OT","And God said, ""Let there be light,"" and there was light.",
"Genesis",1,26,,"OT","Then God said, ""Let us make man in our image, after our likeness. And let them have dominion over the fish of the sea and over the birds of the heavens and over the livestock and over all the earth and over every creeping thing that creeps on the earth.""",
"Genesis",1,27,,"OT","So God created man in his own image, in the image of God he created him; male and female he created them.",
"Genesis",2,2,,"OT","And on the seventh day God finished his work that he had done, and he rested on the seventh day from all his work that he had done.",
"Genesis",2,7,,"OT","then the LORD God formed the man of dust from the ground and breathed into his nostrils the breath of life, and the man became a living creature.",
"Genesis",2,18,,"OT","Then the LORD God said, ""It is not good that the man should be alone; I will make him a helper fit for him.""",
"Genesis",2,21,,"OT","So the LORD God caused a deep sleep to fall upon the man, and while he slept took one of his ribs and closed up its place with flesh.",
"Genesis",2,24,,"OT","Therefore a man shall leave his father and his mother and hold fast to his wife, and they shall become one flesh.",
"Genesis",3,1,,"OT","Now the serpent was more crafty than any other beast of the field that the LORD God had made.He said to the woman, ""Did God actually say, 'You shall not eat of any tree in the garden'?""",
"Genesis",3,6,,"OT","So when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of its fruit and ate, and she also gave some to her husband who was with her, and he ate.",
"Genesis",3,15,,"OT","I will put enmity between you and the woman, and between your offspring and her offspring; he shall bruise your head, and you shall bruise his heel.""",
"Genesis",3,16,,"OT","To the woman he said, ""I will surely multiply your pain in childbearing; in pain you shall bring forth children. Your desire shall be for your husband, and he shall rule over you.""",
"Genesis",3,17,,"OT","And to Adam he said, ""Because you have listened to the voice of your wife and have eaten of the tree of which I commanded you, 'You shall not eat of it,' cursed is the ground because of you; in pain you shall eat of it all the days of your life;",
"Genesis",3,19,,"OT","By the sweat of your face you shall eat bread, till you return to the ground, for out of it you were taken; for you are dust, and to dust you shall return.""",
"Genesis",4,3,,"OT","In the course of time Cain brought to the LORD an offering of the fruit of the ground,",
"Genesis",4,7,,"OT","If you do well, will you not be accepted? And if you do not do well, sin is crouching at the door. Its desire is for you, but you must rule over it.""",
"Genesis",4,9,,"OT","Then the LORD said to Cain, ""Where is Abel your brother?"" He said, ""I do not know; am I my brother's keeper?""",
"Genesis",6,5,,"OT","The LORD saw that the wickedness of man was great in the earth, and that every intention of the thoughts of his heart was only evil continually.",
"Genesis",6,8,,"OT","But Noah found favor in the eyes of the LORD.",
"Genesis",6,13,,"OT","And God said to Noah, ""I have determined to make an end of all flesh, for the earth is filled with violence through them. Behold, I will destroy them with the earth.",
"Genesis",7,1,,"OT","Then the LORD said to Noah, ""Go into the ark, you and all your household, for I have seen that you are righteous before me in this generation.",
"Genesis",7,11,,"OT","In the six hundredth year of Noah's life, in the second month, on the seventeenth day of the month, on that day all the fountains of the great deep burst forth, and the windows of the heavens were opened.",
